DATE,per_capita_personal_income
1969-01-01,3826
1970-01-01,4133
1971-01-01,4436
1972-01-01,4910
1973-01-01,5373
1974-01-01,5764
1975-01-01,6155
1976-01-01,6737
1977-01-01,7435
1978-01-01,8282
1979-01-01,9085
1980-01-01,10102
1981-01-01,11153
1982-01-01,11840
1983-01-01,12869
1984-01-01,14351
1985-01-01,15504
1986-01-01,16551
1987-01-01,17421
1988-01-01,18660
1989-01-01,19604
1990-01-01,20624
1991-01-01,20972
1992-01-01,22150
1993-01-01,23009
1994-01-01,24038
1995-01-01,25428
1996-01-01,26940
1997-01-01,28132
1998-01-01,30409
1999-01-01,31724
2000-01-01,33861
2001-01-01,34938
2002-01-01,35008
2003-01-01,35493
2004-01-01,36913
2005-01-01,38446
2006-01-01,40062
2007-01-01,40783
2008-01-01,39890
2009-01-01,38287
2010-01-01,38666
2011-01-01,41092
2012-01-01,41698
2013-01-01,41847
2014-01-01,44517
2015-01-01,46735
2016-01-01,48350
2017-01-01,50920
2018-01-01,53081
2019-01-01,55471
2020-01-01,58140
2021-01-01,63474
2022-01-01,64107
